,Tweets,len,ID,Date,Source,Likes,RTs,SA
19,"The U.S. economy is looking very good, in my opinion, even better than anticipated. Companies are pouring back into… https://t.co/Sxweprvk7N",140,9.65775E+17,2/20/2018 2:29,Twitter for iPhone,117493,24994,1
20,.@MittRomney has announced he is running for the Senate from the wonderful State of Utah. He will make a great Sena… https://t.co/h1RaVb2OVj,140,9.65773E+17,2/20/2018 2:21,Twitter for iPhone,52939,9259,1
21,"Obama was President up to, and beyond, the 2016 Election. So why didn’t he do something about Russian meddling?",111,9.65676E+17,2/19/2018 19:55,Twitter for iPhone,89312,22085,0
22,"Have a great, but very reflective, President’s Day!",51,9.65582E+17,2/19/2018 13:42,Twitter for iPhone,143220,24090,1
23,"Just watched a very insecure Oprah Winfrey, who at one point I knew very well, interview a panel of people on 60 Mi… https://t.co/7iuf59562i",140,9.65443E+17,2/19/2018 4:28,Twitter for iPhone,152572,34698,-1
24,"My great friends from NASCAR are having their big race today, The Daytona 500. Brian France and the France family a… https://t.co/EWBOQxPW2S",140,9.65303E+17,2/18/2018 19:13,Twitter for iPhone,101256,15597,1
25,"Thank you to KenStarr, former Independent Counsel, Whitewater, for your insight and powerful words on FISA abuse, R… https://t.co/XGIgUkn3qK",140,9.65272E+17,2/18/2018 17:10,Twitter for iPhone,76832,17969,1
26,Great Pollster John McLaughlin now has the GOP up in the Generic Congressional Ballot. Big gain over last 4 weeks.… https://t.co/iIrNmfPgbQ,139,9.65223E+17,2/18/2018 13:55,Twitter for iPhone,96523,21920,1
27,The Fake News of big ratings loser CNN. https://t.co/rYsv90cnvs,63,9.65221E+17,2/18/2018 13:46,Twitter for iPhone,76639,19874,-1
28,"If it was the GOAL of Russia to create discord, disruption and chaos within the U.S. then, with all of the Committe… https://t.co/fx3CPabzTi",140,9.65212E+17,2/18/2018 13:11,Twitter for iPhone,117955,33290,0
29,"RT @mike_pence: Big night. Largest-ever Dallas County GOP Reagan Day Dinner. As I told the crowd, under President @realDonaldTrump: Promise…",140,9.65208E+17,2/18/2018 12:53,Twitter for iPhone,0,12685,0
30,"Now that Adam Schiff is starting to blame President Obama for Russian meddling in the election, he is probably doin… https://t.co/R2OTHSUYP9",140,9.65205E+17,2/18/2018 12:43,Twitter for iPhone,89664,19840,0
31,"I never said Russia did not meddle in the election, I said “it may be Russia, or China or another country or group,… https://t.co/1dMjQbLlSC",140,9.65203E+17,2/18/2018 12:33,Twitter for iPhone,125888,31662,0
32,"Finally, Liddle’ Adam Schiff, the leakin’ monster of no control, is now blaming the Obama Administration for Russia… https://t.co/9HNsbaWwWj",140,9.652E+17,2/18/2018 12:22,Twitter for iPhone,108094,28568,0
33,"Never gotten over the fact that Obama was able to send $1.7 Billion Dollars in CASH to Iran and nobody in Congress,… https://t.co/5nQ35ANIrg",140,9.65195E+17,2/18/2018 12:02,Twitter for iPhone,123458,38093,1
34,General McMaster forgot to say that the results of the 2016 election were not impacted or changed by the Russians a… https://t.co/ilaHKwf6Jy,140,9.65079E+17,2/18/2018 4:22,Twitter for iPhone,96409,27179,1
35,Very sad that the FBI missed all of the many signals sent out by the Florida school shooter. This is not acceptable… https://t.co/yvvTEmad2e,140,9.65076E+17,2/18/2018 4:08,Twitter for iPhone,148805,37334,-1
36,"Just like they don’t want to solve the DACA problem, why didn’t the Democrats pass gun control legislation when the… https://t.co/c2gS0ByFUw",140,9.65009E+17,2/17/2018 23:45,Twitter for iPhone,122790,32441,0
37,“I have seen all of the Russian ads and I can say very definitively that swaying the election was *NOT* the main go… https://t.co/y4PVZ6KZqv,140,9.64957E+17,2/17/2018 20:16,Twitter for iPhone,57842,17006,1
38,"The Fake News Media never fails. Hard to ignore this fact from the Vice President of Facebook Ads, Rob Goldman! https://t.co/XGC7ynZwYJ",135,9.64955E+17,2/17/2018 20:11,Twitter for iPhone,60326,18668,-1
39,"Funny how the Fake News Media doesn’t want to say that the Russian group was formed in 2014, long before my run for… https://t.co/9BPo5EB5WN",140,9.64949E+17,2/17/2018 19:46,Twitter for iPhone,105689,25724,-1
40,Deputy A.G. Rod Rosenstein stated at the News Conference: “There is no allegation in the indictment that any Americ… https://t.co/pPhsPl34Ie,140,9.64947E+17,2/17/2018 19:36,Twitter for iPhone,90129,22014,0
41,"“Charges Deal Don A Big Win,” written by Michael Goodwin of the @nypost, succinctly states that “the Russians had n… https://t.co/yoFUA9PolC",140,9.64944E+17,2/17/2018 19:26,Twitter for iPhone,70889,19016,1
42,"Melania and I met such incredible people last night in Broward County, Florida. Will never forget them, or the evening!",119,9.64939E+17,2/17/2018 19:04,Twitter for iPhone,96486,14736,1
43,"Our entire Nation, w/one heavy heart, continues to pray for the victims &amp; their families in Parkland, FL. To teache… https://t.co/jR8THlLD5z",144,9.64724E+17,2/17/2018 4:53,Twitter for iPhone,117983,24835,-1
44,"Russia started their anti-US campaign in 2014, long before I announced that I would run for President. The results… https://t.co/B4D7ZcKHPp",139,9.64595E+17,2/16/2018 20:18,Twitter for iPhone,141951,37497,-1
45,Cannot believe how BADLY DACA recipients have been treated by the Democrats...totally abandoned! Republicans are still working hard.,132,9.64512E+17,2/16/2018 14:49,Twitter for iPhone,97285,21987,-1
46,I will be leaving for Florida today to meet with some of the bravest people on earth - but people whose lives have… https://t.co/1APUFLwj1f,139,9.64509E+17,2/16/2018 14:37,Twitter for iPhone,120075,20006,0
47,"Presidential Proclamation Honoring the Victims of the Tragedy in Parkland, Florida: https://t.co/RTQWAKiSnR https://t.co/Nhs32bm5zB",131,9.64233E+17,2/15/2018 20:19,Twitter for iPhone,61724,13636,0
48,"...lottery, continues deadly catch-and-release, and bars enforcement even for FUTURE illegal immigrants. Voting for… https://t.co/ruP4vp9vxa",140,9.64219E+17,2/15/2018 19:26,Twitter for iPad,60016,15320,-1
49,The Schumer-Rounds-Collins immigration bill would be a total catastrophe. @DHSgov says it would be “the end of immi… https://t.co/FegRjpmNZj,140,9.64219E+17,2/15/2018 19:25,Twitter for iPad,72293,20138,0
50,"RT @SpoxDHS: Schumer-Rounds-Collins destroys the ability of @DHSgov to enforce immigration laws, creating a mass amnesty for over 10 millio…",140,9.64218E+17,2/15/2018 19:22,Twitter for iPad,0,8028,0
51,"In times of tragedy, the bonds that sustain us are those of family, faith, community, and country. These bonds are… https://t.co/LraxXxUN3D",139,9.64191E+17,2/15/2018 17:33,Media Studio,82312,19649,0
52,"While the Republicans and Democrats in Congress are working hard to come up with a solution to DACA, they should be… https://t.co/qti7gQGh0I",140,9.64152E+17,2/15/2018 14:57,Twitter for iPhone,101032,20758,-1
53,"So many signs that the Florida shooter was mentally disturbed, even expelled from school for bad and erratic behavi… https://t.co/3mSYrtTng6",140,9.6411E+17,2/15/2018 12:12,Twitter for iPhone,89085,20975,-1
54,Just spoke to Governor Rick Scott. We are working closely with law enforcement on the terrible Florida school shooting.,119,9.63879E+17,2/14/2018 20:55,Twitter for iPhone,111498,19473,-1
55,"My prayers and condolences to the families of the victims of the terrible Florida shooting. No child, teacher or an… https://t.co/RFJxgM1jhm",140,9.63878E+17,2/14/2018 20:50,Twitter for iPhone,173666,39633,-1
56,"Today, I was honored to be joined by Republicans and Democrats from both the House and Senate, as well as members o… https://t.co/38kUIIV8Cp",140,9.63853E+17,2/14/2018 19:11,Twitter for iPad,56037,11292,0
57,"As we come together to celebrate the extraordinary contributions of African-Americans to our nation, our thoughts t… https://t.co/SwAJxO88zC",140,9.63839E+17,2/14/2018 18:15,Media Studio,65069,14953,1
58,Negotiations on DACA have begun. Republicans want to make a deal and Democrats say they want to make a deal. Wouldn… https://t.co/YW4mCpHr0R,140,9.63365E+17,2/13/2018 10:52,Twitter for iPhone,106910,22624,0
59,"Our infrastructure plan has been put forward and has received great reviews by everyone except, of course, the Demo… https://t.co/2EfB9sObdN",140,9.63363E+17,2/13/2018 10:43,Twitter for iPhone,105762,22887,1
60,The journey to #MAGA began @CPAC 2011 and the opportunity to reconnect with friends and supporters is something I l… https://t.co/DSz3Szp4xE,140,9.63153E+17,2/12/2018 20:48,Twitter for iPhone,67650,14386,0
61,"Thank you to Sue Kruczek, who lost her wonderful and talented son Nick to the Opioid scourge, for your kind words w… https://t.co/0kIdepXBdi",140,9.63034E+17,2/12/2018 12:54,Twitter for iPhone,86925,16820,1
62,"This will be a big week for Infrastructure. After so stupidly spending $7 trillion in the Middle East, it is now ti… https://t.co/OcX7UN18Er",140,9.63032E+17,2/12/2018 12:46,Twitter for iPhone,139268,30456,-1
63,Just spoke to @JohnKasich to express condolences and prayers to all for the horrible shooting of two great police o… https://t.co/X7AhuEYwHI,140,9.62787E+17,2/11/2018 20:36,Twitter for iPhone,77577,14914,-1
64,"Rep. Lou Barletta, a Great Republican from Pennsylvania who was one of my very earliest supporters, will make a FAN… https://t.co/dA2lK3WHFU",140,9.62785E+17,2/11/2018 20:26,Twitter for iPhone,97345,24077,1
65,4.2 million hard working Americans have already received a large Bonus and/or Pay Increase because of our recently… https://t.co/oJl5AiCPZs,139,9.62767E+17,2/11/2018 19:15,Twitter for iPhone,124878,25056,-1
66,So many positive things going on for the U.S.A. and the Fake News Media just doesn’t want to go there. Same negativ… https://t.co/LBnzRfAkJx,140,9.62754E+17,2/11/2018 18:21,Twitter for iPhone,123759,31066,1
67,"My Administration has identified three major priorities for creating a safe, modern and lawful immigration system:… https://t.co/DrjXUak41S",139,9.6247E+17,2/10/2018 23:34,Media Studio,119203,32006,1
68,"My thoughts and prayers are with the two police officers, their families, and everybody at the @WestervillePD. https://t.co/AoingY77Ky",134,9.62436E+17,2/10/2018 21:18,Twitter for iPhone,84965,20493,0
69,Republicans want to fix DACA far more than the Democrats do. The Dems had all three branches of government back in… https://t.co/0Or3U2CFZR,139,9.62398E+17,2/10/2018 18:50,Twitter for iPhone,118135,30516,1
70,"....agencies, not just the FBI &amp; DOJ, now the State Department to dig up dirt on him in the days leading up to the… https://t.co/Of9d7fmsA3",143,9.62394E+17,2/10/2018 18:34,Twitter for iPhone,75750,19963,0
71,“My view is that not only has Trump been vindicated in the last several weeks about the mishandling of the Dossier… https://t.co/dWJuKECfwn,139,9.6239E+17,2/10/2018 18:16,Twitter for iPhone,101457,25844,0
72,Peoples lives are being shattered and destroyed by a mere allegation. Some are true and some are false. Some are ol… https://t.co/6Zz5RAeoQe,140,9.62349E+17,2/10/2018 15:33,Twitter for iPhone,136898,37267,-1
73,"According to the @nytimes, a Russian sold phony secrets on “Trump” to the U.S. Asking price was $10 million, brough… https://t.co/CBMaAX5VMt",140,9.62345E+17,2/10/2018 15:20,Twitter for iPhone,105731,32857,0
74,"The Democrats sent a very political and long response memo which they knew, because of sources and methods (and mor… https://t.co/iR1265rmh3",140,9.6233E+17,2/10/2018 14:20,Twitter for iPhone,117685,32363,-1
75,Jobless claims have dropped to a 45 year low!,45,9.62326E+17,2/10/2018 14:02,Twitter for iPhone,64869,13815,0
76,"Costs on non-military lines will never come down if we do not elect more Republicans in the 2018 Election, and beyo… https://t.co/WgvQYGEaMu",140,9.61963E+17,2/9/2018 13:59,Twitter for iPhone,89630,21446,-1
77,"Without more Republicans in Congress, we were forced to increase spending on things we do not like or want in order… https://t.co/7dfsJYWjRY",140,9.6196E+17,2/9/2018 13:47,Twitter for iPhone,110614,28133,1
78,Just signed Bill. Our Military will now be stronger than ever before. We love and need our Military and gave them e… https://t.co/9MtCabhzj8,140,9.61958E+17,2/9/2018 13:39,Twitter for iPhone,130541,27249,1
79,Wow! -Senator Mark Warner got caught having extensive contact with a lobbyist for a Russian oligarch. Warner did no… https://t.co/N5SoaLnllm,140,9.61803E+17,2/9/2018 3:22,Twitter for iPhone,127901,39933,1
80,Time to end the visa lottery. Congress must secure the immigration system and protect Americans. https://t.co/yukxm48x9X,120,9.61743E+17,2/8/2018 23:26,Twitter for iPhone,97880,24138,1
81,As long as we open our eyes to God’s grace - and open our hearts to God’s love - then America will forever be the l… https://t.co/wGUIaD1JX6,140,9.61694E+17,2/8/2018 20:10,Twitter for iPad,110288,30773,1
82,"I will be meeting with Henry Kissinger at 1:45pm. Will be discussing North Korea, China and the Middle East.",108,9.61672E+17,2/8/2018 18:44,Twitter for iPhone,79931,13616,0
83,Our founders invoked our Creator four times in the Declaration of Independence. Our currency declares “IN GOD WE TR… https://t.co/q8ib233y1M,140,9.61649E+17,2/8/2018 17:13,Twitter for iPad,107092,29373,0
84,Will be heading over shortly to make remarks at The National Prayer Breakfast in Washington. Great religious and po… https://t.co/bEReTLNLo4,140,9.61557E+17,2/8/2018 11:08,Twitter for iPhone,106377,17865,1
85,The Budget Agreement today is so important for our great Military. It ends the dangerous sequester and gives Secret… https://t.co/VRkKsNDZGC,140,9.61368E+17,2/7/2018 22:36,Twitter for iPhone,109458,23214,1
86,Congratulations to the Republic of Korea on what will be a MAGNIFICENT Winter Olympics! What the South Korean peopl… https://t.co/gGaZUnZBMa,140,9.61362E+17,2/7/2018 22:13,Media Studio,70571,13341,1
87,Best wishes to the Republic of Korea on hosting the @Olympics! What a wonderful opportunity to show everyone that y… https://t.co/NL6cIfHZgN,140,9.61299E+17,2/7/2018 18:01,Media Studio,65494,12786,1
88,NEW FBI TEXTS ARE BOMBSHELLS!,29,9.61271E+17,2/7/2018 16:10,Twitter for iPhone,138241,39841,1
89,"In the “old days,” when good news was reported, the Stock Market would go up. Today, when good news is reported, th… https://t.co/mW5vEWhZYY",140,9.61253E+17,2/7/2018 14:59,Twitter for iPhone,112677,21997,1
90,"Congratulations @ElonMusk and @SpaceX on the successful #FalconHeavy launch. This achievement, along with @NASA’s c… https://t.co/MaQocjQKcI",140,9.61073E+17,2/7/2018 3:05,Twitter for iPhone,167619,31717,1
91,"HAPPY BIRTHDAY to our 40th President of the United States of America, Ronald Reagan! https://t.co/JtEglBhm4c",108,9.61039E+17,2/7/2018 0:48,Twitter for iPhone,181708,33039,1
92,"Today, we heard the experiences of law enforcement professionals and community leaders working to combat the threat… https://t.co/BAHG9Ajkio",140,9.61008E+17,2/6/2018 22:45,Media Studio,76120,18390,0
93,We need a 21st century MERIT-BASED immigration system.  Chain migration and the visa lottery are outdated programs… https://t.co/5SzmbuLXuY,139,9.60907E+17,2/6/2018 16:05,Twitter for iPhone,92749,25673,-1
94,"Polling shows nearly 7 in 10 Americans support an immigration reform package that includes DACA, fully secures the… https://t.co/OD93mZebu7",139,9.60906E+17,2/6/2018 16:00,Twitter for iPhone,89745,23638,1
95,"My prayers and best wishes are with the family of Edwin Jackson, a wonderful young man whose life was so senselessly taken. @Colts",130,9.6087E+17,2/6/2018 13:37,Twitter for iPhone,104741,20952,1
96,So disgraceful that a person illegally in our country killed @Colts linebacker Edwin Jackson. This is just one of m… https://t.co/r8vqtb4Tjb,140,9.60869E+17,2/6/2018 13:32,Twitter for iPhone,142980,36136,-1
97,"Thanks to the historic TAX CUTS that I signed into law, your paychecks are going way UP, your taxes are going way D… https://t.co/DKVuox1qa6",140,9.60615E+17,2/5/2018 20:42,Twitter for iPhone,105978,22884,1
98,"Representative Devin Nunes, a man of tremendous courage and grit, may someday be recognized as a Great American Her… https://t.co/p7egMdnqQs",140,9.60531E+17,2/5/2018 15:08,Twitter for iPhone,133755,35784,1
99,Any deal on DACA that does not include STRONG border security and the desperately needed WALL is a total waste of t… https://t.co/BuGrQqbWfs,140,9.60523E+17,2/5/2018 14:36,Twitter for iPhone,123375,30018,-1
100,"Little Adam Schiff, who is desperate to run for higher office, is one of the biggest liars and leakers in Washingto… https://t.co/7csaXTJLoO",140,9.60493E+17,2/5/2018 12:39,Twitter for iPhone,142308,43047,-1
101,Thank you to @foxandfriends for exposing the truth. Perhaps that’s why your ratings are soooo much better than your untruthful competition!,139,9.60488E+17,2/5/2018 12:17,Twitter for iPhone,107641,22833,1
102,The Democrats are pushing for Universal HealthCare while thousands of people are marching in the UK because their U… https://t.co/9JK8HHq2bb,140,9.60486E+17,2/5/2018 12:11,Twitter for iPhone,120977,30736,0
103,Congratulations to the Philadelphia Eagles on a great Super Bowl victory!,73,9.60361E+17,2/5/2018 3:54,Twitter for iPhone,212381,36376,1
104,My thoughts and prayers are with all of the victims involved in this mornings train collision in South Carolina. Th… https://t.co/H3Ypk1ZwMt,140,9.60196E+17,2/4/2018 16:58,Twitter for iPhone,141908,23144,0
105,...a tool of anti-Trump political actors. This is unacceptable in a democracy and ought to alarm anyone who wants t… https://t.co/tGnYODCVQx,140,9.59953E+17,2/4/2018 0:53,Twitter for iPhone,130801,35784,1
106,“The four page memo released Friday reports the disturbing fact about how the FBI and FISA appear to have been used… https://t.co/ZT9YHhTIlA,140,9.5995E+17,2/4/2018 0:40,Twitter for iPhone,130664,36878,-1
107,"Great jobs numbers and finally, after many years, rising wages- and nobody even talks about them. Only Russia, Russ… https://t.co/0gYGNuj0BS",140,9.59946E+17,2/4/2018 0:26,Twitter for iPhone,136073,30157,1
108,This memo totally vindicates “Trump” in probe. But the Russian Witch Hunt goes on and on. Their was no Collusion an… https://t.co/GPYj4JbKgN,140,9.59799E+17,2/3/2018 14:40,Twitter for iPhone,141859,39114,0
109,"Rasmussen just announced that my approval rating jumped to 49%, a far better number than I had in winning the Elect… https://t.co/GbG8u70wTV",140,9.59799E+17,2/3/2018 14:40,Twitter for iPhone,156580,34841,1
110,RT @EricTrump: #MakeAmericaGreatAgain ?????? https://t.co/CJts3udtNO,68,9.59785E+17,2/3/2018 13:44,Twitter for iPhone,0,12688,0
111,RT @EricTrump: ?????? https://t.co/iszxYp036c,45,9.59783E+17,2/3/2018 13:39,Twitter for iPhone,0,12268,0
112,"Today, it was my honor to join the great men and women of @DHSgov, @CustomsBorder, @ICEgov and @USCIS at the U.S. C… https://t.co/r9EL0AhbO1",140,9.59554E+17,2/2/2018 22:26,Twitter for iPad,71030,14560,1
113,“Trump the orator outlines the greatness of America to Democrats’ disgust” https://t.co/XpirrtTY6V,98,9.59488E+17,2/2/2018 18:07,Twitter for iPad,77708,17579,0
114,"With 3.5 million Americans receiving bonuses or other benefits from their employers as a result of TAX CUTS, 2018 i… https://t.co/cxo1rxdDsj",140,9.59488E+17,2/2/2018 18:05,Twitter for iPad,108160,27490,-1
115,“You had Hillary Clinton and the Democratic Party try to hide the fact that they gave money to GPS Fusion to create… https://t.co/A8GoOzBrPx,140,9.59393E+17,2/2/2018 11:49,Twitter for iPhone,161825,51977,0
116,The top Leadership and Investigators of the FBI and the Justice Department have politicized the sacred investigativ… https://t.co/xXWIyOvhi0,140,9.59389E+17,2/2/2018 11:33,Twitter for iPhone,139282,40254,1
117,"The Democrats just aren’t calling about DACA. Nancy Pelosi and Chuck Schumer have to get moving fast, or they’ll di… https://t.co/Tuz4PCoIF4",140,9.59268E+17,2/2/2018 3:32,Twitter for iPhone,124198,28708,1
118,Thank you for all of the nice compliments and reviews on the State of the Union speech. 45.6 million people watched… https://t.co/HKFLkRjlGQ,140,9.59034E+17,2/1/2018 12:02,Twitter for iPhone,184746,37205,1
119,"March 5th is rapidly approaching and the Democrats are doing nothing about DACA. They Resist, Blame, Complain and O… https://t.co/A4qhFRv21V",140,9.59032E+17,2/1/2018 11:51,Twitter for iPhone,123460,29786,0
120,Heading to beautiful West Virginia to be with great members of the Republican Party. Will be planning Infrastructur… https://t.co/17g1hxSFRI,140,9.59029E+17,2/1/2018 11:43,Twitter for iPhone,138083,28375,1
121,"Join me live for the #SOTU
https://t.co/0SLktWxfHi",50,9.5852E+17,1/31/2018 2:00,Twitter for iPhone,109035,21963,1
122,"Congratulations to America’s new Secretary of @HHSGov, Alex Azar! https://t.co/Y9inQaCt7o",89,9.5807E+17,1/29/2018 20:12,Twitter for iPhone,84224,16346,1
123,Our economy is better than it has been in many decades. Businesses are coming back to America like never before. Ch… https://t.co/ZrThpTutNr,140,9.57604E+17,1/28/2018 13:18,Twitter for iPhone,199691,42178,1
124,"Somebody please inform Jay-Z that because of my policies, Black Unemployment has just been reported to be at the LOWEST RATE EVER RECORDED!",139,9.57604E+17,1/28/2018 13:18,Twitter for iPhone,240339,63894,-1
125,Democrats are not interested in Border Safety &amp; Security or in the funding and rebuilding of our Military. They are… https://t.co/wM9cL8CBo7,144,9.57465E+17,1/28/2018 4:08,Twitter for iPhone,157337,35786,-1
126,"I have offered DACA a wonderful deal, including a doubling in the number of recipients &amp; a twelve year pathway to c… https://t.co/gSxSjiRcoC",144,9.57463E+17,1/28/2018 3:58,Twitter for iPhone,175784,46858,1
127,"Taliban targeted innocent Afghans, brave police in Kabul today. Our thoughts and prayers go to the victims, and fir… https://t.co/nxuDZV0VYZ",140,9.57388E+17,1/27/2018 22:59,Twitter for iPhone,114283,22035,1
128,"On Holocaust Remembrance Day we mourn and grieve the murder of 6 million innocent Jewish men, women and children, a… https://t.co/Df8jIU5KW2",140,9.57335E+17,1/27/2018 19:30,Twitter for iPhone,107950,25859,1
129,Thank you to Brandon Judd of the National Border Patrol Council for his strong statement on @foxandfriends that we… https://t.co/33QbAoLFxj,139,9.57221E+17,1/27/2018 11:55,Twitter for iPhone,124225,29151,1
130,Thank you for the wonderful welcome @WEF! #Davos2018 https://t.co/IQkoQJxR5B,76,9.57032E+17,1/26/2018 23:27,Twitter for iPhone,72341,16297,1
131,DACA has been made increasingly difficult by the fact that Cryin’ Chuck Schumer took such a beating over the shutdo… https://t.co/5faBeqcNP9,140,9.56939E+17,1/26/2018 17:16,Twitter for iPhone,119432,26248,-1
132,"Heading back from a very exciting two days in Davos, Switzerland. Speech on America’s economic revival was well rec… https://t.co/JbNNrNVH9z",140,9.56938E+17,1/26/2018 17:12,Twitter for iPhone,112286,22582,1
133,"Join me live at the 2018 World Economic Forum in Davos, Switzerland! #WEF18 https://t.co/fdHejCmv73 https://t.co/DuKJlVTWB8",123,9.56873E+17,1/26/2018 12:54,Twitter for iPhone,52452,10083,1
134,Great bilateral meeting with President @Alain_Berset of the Swiss Confederation - as we continue to strengthen our… https://t.co/3bK58PuFPd,139,9.5685E+17,1/26/2018 11:23,Twitter for iPhone,55911,10728,1
135,"It was an honor to meet with Republic of Rwanda President Paul Kagame this morning in Davos, Switzerland. Many grea… https://t.co/tiD5NSYYwB",140,9.56841E+17,1/26/2018 10:46,Twitter for iPhone,63724,12457,1
136,"Will be interviewed on  @SquawkCNBC by @JoeSquawk coming up at 6:00amE from Davos, Switzerland. Enjoy! #WEF18 https://t.co/7egYlxnFBd",133,9.56832E+17,1/26/2018 10:11,Twitter for iPhone,36768,6567,1
137,"Today, Americans everywhere remember the brave men and women of @NASA who lost their lives in our Nation’s eternal… https://t.co/KMP2MhJVLS",139,9.56658E+17,1/25/2018 22:38,Twitter for iPhone,84198,17740,1
138,"Very productive bilateral meeting with Prime Minister Benjamin @Netanyahu of Israel - in Davos, Switzerland! #WEF18 https://t.co/2sZM9YI7tJ",139,9.56588E+17,1/25/2018 18:03,Twitter for iPhone,73046,15137,1
139,"Great bilateral meeting with Prime Minister Theresa May of the United Kingdom, affirming the special relationship a… https://t.co/6bIzOEo8DK",140,9.56579E+17,1/25/2018 17:25,Twitter for iPhone,76566,16017,1
140,"Will soon be heading to Davos, Switzerland, to tell the world how great America is and is doing. Our economy is now… https://t.co/OwSYSiCiKe",140,9.56322E+17,1/25/2018 0:27,Twitter for iPhone,153016,28379,1
141,It was my great honor to welcome Mayor’s from across America to the WH. My Administration will always support local… https://t.co/N7Z9Dw3uIi,140,9.56298E+17,1/24/2018 22:51,Media Studio,79433,16791,1
142,"Earlier today, I spoke with @GovMattBevin of Kentucky regarding yesterday’s shooting at Marshall County High School… https://t.co/20Bf0p7oFT",140,9.56262E+17,1/24/2018 20:26,Twitter for iPhone,98909,19266,1
143,Tremendous investment by companies from all over the world being made in America. There has never been anything lik… https://t.co/sUp4LsbXhz,140,9.56134E+17,1/24/2018 11:58,Twitter for iPhone,147479,33243,1
144,"Cryin’ Chuck Schumer fully understands, especially after his humiliating defeat, that if there is no Wall, there is… https://t.co/oaabUSfT9w",140,9.56016E+17,1/24/2018 4:07,Twitter for iPhone,155104,36678,0
145,"Where are the 50,000 important text messages between FBI lovers Lisa Page and Peter Strzok?  Blaming Samsung!",109,9.56012E+17,1/24/2018 3:54,Twitter for iPhone,127885,32105,1
